Title,Author,Rating,Readers,Release Year,Status,Platform,Chapters
I'm going to destroy this country,SAN.G,9.9,3852000,2025,Ongoing,KakaoPage,33
"Myst, might, mayhem",Kim Tae-Hyung,9.83,2000000,2024,Ongoing,Webtoon,71
Best teacher baek,Ganjjajang,9.79,27600000,2021,Ongoing,Webtoon,117
Solo leveling,Chugong,10,5500000000,2018,Complete,KakaoPage,200
The demonic cult leader is too reluctant,Kim Hyun-Young,8.87,585846,2024,Ongoing,Webtoon,21
Absolute regression,Jang Yeonghun,9.76,3500000,2024,Ongoing,Webtoon,31
Terminally ill young master of the baek clan,GWA-JANG,9.84,3100000,2023,Ongoing,Webtoon,54
Player who can't level up,GaVinGe,9.9,51933000,2021,Ongoing,KakaoPage,187
Dungeon reset,Daul,9.9,88213000,2020,Ongoing,KakaoPage,110
A disaster-class hero has returned,Lee Beom-geun,9.9,47225000,2021,Ongoing,KakaoPage,124
Murim login,Zerobic,9.9,57642000,2020,Ongoing,KakaoPage,222
Grim reaper of the drifting moon,Woo-Gak,9.7,12855000,2022,Ongoing,KakaoPage,94
Chronicles of martial's god return,Sadoyeon,9.7,3128000,2024,Ongoing,KakaoPage,42
Chronicles of the demon faction,Codezero,9.41,8500000,2023,Ongoing,Webtoon,113
The overpowered newbie,MidAs,9.8,5849000,2022,Ongoing,KakaoPage,200
Bizzarre restaurant,Shin Hyun Beom,9.9,669700,2022,Ongoing,KakaoPage,80
Dark and light martial emperor,Baek Joon,9.8,9119000,2024,Ongoing,KakaoPage,53
Martial god regresed to level 2,Yeom-Bi,9.8,24466000,2023,Ongoing,KakaoPage,95
Moon-shadow sword emeperor,Be Ingijagga,9.9,8212000,2023,Ongoing,KakaoPage,85
Ranker who lives twice,Sadoyeon,9.9,330000000,2019,Ongoing,KakaoPage,205
Heavenly grand archive's young master,Kim Hyeon Yeong,9.8,10000000,2023,Ongoing,Webtoon,126
Reaborn as the heavenly demon,Boo-kyoum ,9.65,2300000,2024,Ongoing,Webtoon,64
Poison-eating healer,Park Kyeong-won,9.8,271900000,2022,Complete,KakaoPage,50
Heavenly demon can't live a normal life,San Cheon,9.22,15300000,2021,Ongoing,Webtoon,153
Player who returned 10000 years later,Joo Kyung Maeng,9.8,3028000,2022,Ongoing,KakaoPage,112
Expeled hero is too strong,Bluecliffe,8.72,4000000,2024,Ongoing,Webtoon,50
Eleceed,Son Jeho,9.93,396000000,2018,Ongoing,Webtoon,345
Omniscient Reader's Viewpoint,Sleepy-C,9.91,464700000,2020,Ongoing,Webtoon,257
Return of mad demon,YU Jin Sung,9.78,48000000,2021,Ongoing,Webtoon,151
The greatest estate developer,LEE Hyun-Min,9.91,166900000,2021,Ongoing,Webtoon,182
Leveling with the gods,Black Ajin,9.9,3227400,2021,Ongoing,Webtoon,131
The archmage's restaurant,Bad boys,9.34,931000,2023,Ongoing,Webtoon,80
Infinite mage,Kimchi Woo,9.9,36634000,2022,Ongoing,KakaoPage,112
The regressed son of the duke is an assassin,CoffeeLime,9.5,31800000,2024,Ongoing,Webtoon,72
The beginning after the end,TurtleMe,9.7,43565000,2018,Ongoing,KakaoPage,214
Legend of the northern blade,Woo-Gak,9.3,94016000,2019,Complete,KakaoPage,202
Nano Machine,Great H,9.41,21400000,2020,Ongoing,Webtoon,254
Mercenary Enrollment,YC,9.81,235000000,2020,Ongoing,Webtoon,229
Tomb raider king,SAN.G,9.9,87617000,2019,Complete,KakaoPage,411
Solo max-level newbie,WAN.Z,9.26,901333000,2021,Ongoing,Webtoon,201
SSS-Class Suicide Hunter,Neida,9.9,120000000,2020,Ongoing,KakaoPage,135
The world after the fall,Undead Ttalgi,9.68,80300000,2022,Ongoing,Webtoon,176
Lightning degree,Geomryuhon,9.9,88478000,2019,Ongoing,KakaoPage,199
Killer peter,Kim Jung-Hyun,9.75,20200000,2023,Ongoing,Webtoon,91
Regressor instruction manual,Domi,9.8,100000000,2021,Ongoing,KakaoPage,133
